Channel1,Channel2,Channel3,Channel4,Channel5,Channel6,Channel7,Channel8
HRH2,RNF44,PSMG4,MZB1,RNF44,TGFBI,HRH2,RNF145
SQSTM1,NQO2,HLA-DQA1,CYSTM1,HK3,EGR1,HK3,HRH2
PRPF4B,PSMG4,HLA-DQB2,CD14,NQO2,CXXC5,PRPF4B,FLOT1
LY86,PRPF4B,TAF11,CSF1R,ABT1,CYSTM1,BTN3A2,DDAH2
TMEM14B,TRIM27,FKBP5,CD74,TRIM27,ZMAT2,ZNRD1,FKBP5
SOX4,HLA-C,UBE2J1,CYFIP2,HLA-DQB2,HK3,DDAH2,SNX14
FAM65B,FKBP5,MICAL1,HRH2,TAF11,NQO2,PIM1,ZNF292
HLA-DQB1,PIM1,SERINC1,TPMT,FKBP5,PSMG4,CYB5R4,UBE2J1
PIM1,CCDC167,MAD1L1,RNF144B,PIM1,SOX4,GTF3C6,ECHDC1
MRPL2,UBR2,WIPI2,BTN3A2,ZNF292,HLA-DQB1,MARCKS,MAD1L1
OGFRL1,OGFRL1,ARL4A,TRIM27,UBE2J1,HLA-DQB2,HEBP2,C1GALT1
SENP6,ZNF292,MALSU1,HLA-DQA1,HEBP2,FKBP5,ARL4A,ARL4A
AMD1,SEC63,CREB5,HLA-DQB2,TAGAP,PIM1,GUSB,MALSU1
BCLAF1,MICAL1,NT5C3A,SMAP1,SOD2,CCDC167,SAMD9L,CREB5
ARL4A,MARCKS,CCM2,SENP6,COX19,MARCKS,BRI3,NT5C3A
VOPP1,SERINC1,BRI3,SNX14,ARL4A,ECHDC1,LAMTOR4,FIS1
WBSCR22,ECHDC1,ZNF655,ARL4A,CREB5,BCLAF1,FIS1,HBP1
TMEM60,VNN2,HBP1,MYO1G,BAZ1B,TAGAP,ARMC10,CAPZA2
CD36,TBPL1,GPR85,PTPN12,HSPB1,MALSU1,HBP1,GIMAP2
TMEM176B,HEBP2,ZC3HAV1,TMEM60,BRI3,BLVRA,PNPLA8,CD99
TMEM176A,GTF2H5,MKRN1,SAMD9,ZNF655,SAMD9,GPR85,MSL3
CD99,CYCS,TMEM176A,BRI3,PNPLA8,SLC12A9,ARF5,RPS6KA3
MSL3,STARD3NL,PRDX4,SRPK2,ARF5,DNAJC2,HIPK2,PRDX4
OFD1,WBSCR22,TSC22D3,NAMPT,SND1,TES,TMEM176B,NDUFB11
RBBP7,TMEM60,ALG13,PDIA4,TMEM176B,TMEM176B,TMEM176A,NHSL2
DDX3X,CD36,MECP2,GIMAP2,RAB9A,FASTK,AP1S2,CYSLTR1
UBA1,GPR85,MPP1,TMEM176B,EIF1AX,AP1S2,LINC01420,IL13RA1
UBQLN2,SND1,CLU,PRDX4,DDX3X,PRDX4,CYSLTR1,MECP2
BEX4,PDIA4,PROSC,RBM3,EBP,NHSL2,BEX4,CLU
TSC22D3,TMEM176B,CHCHD7,LINC01420,UBQLN2,ALG13,TSC22D3,HOOK3
CLU,ACOT9,TCEB1,NONO,NHSL2,SASH3,IL13RA1,CPNE3
PLEKHA2,SMC1A,PEX2,MPP1,DOCK11,RAP2C,RAP2C,PTDSS1
HOOK3,NHSL2,PLEKHF2,CLU,IL13RA1,INTS10,RENBP,ATP6V1C1
CHCHD7,TSC22D3,PLEC,KLF10,XIAP,REEP4,CLU,TATDN1
PEX2,RAP2C,RAD23B,TATDN1,RENBP,DPYSL2,PROSC,MTSS1
C8orf59,MECP2,NTMT1,MTSS1,REEP4,CLU,TCEB1,NAPRT
SLA,MPP1,IFITM1,SLA,PTK2B,TMEM70,CPNE3,PLEC
JAK2,REEP4,SVIP,JAK2,CLU,TATDN1,OXR1,PLIN2
PLIN2,CLU,HIPK3,PLIN2,CEBPD,NAPRT,MTSS1,AGTPBP1
CKS2,LSM1,DGKZ,GNAQ,PEX2,JAK2,PLIN2,RAD23B
FGD3,COPS5,POLR2G,PSMD5-AS1,PTDSS1,PLIN2,CCDC107,PSMD5-AS1
CNTRL,RAD21,SLC3A2,TUBB4B,B4GALT1,SEMA4D,GRHPR,NTMT1
STOM,NDUFB6,RTN3,PNPLA2,GRHPR,FGD3,ANXA1,SURF1
SLC2A6,BAG1,EHD1,CHID1,SEMA4D,TMEM141,GNAQ,PSMD13
IFITM2,RPP25L,RAB1B,CTSD,TLR4,CD151,ARFGAP2,IFITM1
CAPRIN1,FBP1,POLD4,LSP1,PSMD5-AS1,TRIM22,CAPN1,IFITM3
ARFGAP2,CHID1,FOLR3,CAPRIN1,DPM2,ARFGAP2,RNASEH2C,ASCL2
FAM111A,MOB2,CCDC90B,ARFGAP2,IFITM2,CELF1,BRMS1,TMX2
MPEG1,ASCL2,ANKRD49,MS4A4A,RNF141,TMEM109,FOLR3,MS4A4A
TMEM109,C11orf21,SRSF8,MS4A7,SVIP,BEST1,SLC36A4,PLA2G16
AHNAK,TRIM22,BIRC3,RARRES3,MPEG1,AHNAK,ANKRD49,COX8A
POLR2G,HIPK3,FDX1,STIP1,PLA2G16,MRPL11,DCPS,ARAP1
STIP1,ARFGAP2,VIM,ESRRA,CCDC85B,TCIRG1,KLF6,SRSF8
CORO1B,STIP1,MAP3K8,FAM89B,RAB1B,FOLR3,CDC123,CUL5
AIP,AIP,HERC4,CCDC85B,KCNE3,CUL5,VIM,FDX1
TCIRG1,FOLR3,PPA1,BRMS1,BIRC3,KLF6,ALOX5,CDC123
ARAP1,ARAP1,PCBD1,FOLR3,BIRC2,MAP3K8,NRBF2,CSGALNACT2
SRSF8,ARRB1,DDIT4,BIRC3,CDC123,CSGALNACT2,REEP3,HNRNPH3
BIRC2,ACER3,LIPA,CUL5,MAP3K8,ALOX5,DDIT4,MICU1
KLF6,ANKRD49,ENTPD1,CDC123,ALOX5,PPA1,USMG5,HPS1
FAM107B,FDX1,ACTR1A,HERC4,REEP3,PCBD1,GSTO1,CD163
ITGB1,CD3G,BBIP1,LIPA,HERC4,DDIT4,ADD3,C3AR1
ALOX5,KMT2A,KDM5A,FRAT2,CCAR1,GSTO1,FAM45A,CLEC4E
REEP3,MAP3K8,CHD4,CUEDC2,MGEA5,ADD3,WNK1,KLRF1
HNRNPH3,DDIT4,CD163,OAT,ACTR1A,SMNDC1,EMG1,ETV6
MGEA5,ENTPD1,C3AR1,CD163,USMG5,BBIP1,SLC2A3,MRPS35
ACTR1A,GSTO1,CLEC12A,CLEC4A,OAT,MCMBP,HEBP1,NFE2
SMC3,ETV6,MRPS35,CLEC12A,KDM5A,CD163,ATF7IP,STAT2
WDR11,HEBP1,ZFC3H1,LRRK2,SLC2A3,SLC2A3,RECQL,GNS
C3AR1,LDHB,UBE2N,SLC38A1,C3AR1,KLRF1,IRAK4,RAB21
CLEC4E,MRPS35,IKBIP,ATG101,YBX3,ETV6,FKBP11,KRR1
CLEC12A,SLC38A2,APAF1,RASSF3,STRAP,SLC38A1,STAT2,IKBIP
CDKN1B,IRAK3,GNPTAB,DUSP6,KRAS,STAT2,DCTN2,APAF1
HEBP1,KRR1,SELPLG,C12orf75,ERGIC2,TDG,IRAK3,GIT2
STRAP,IKBIP,PPP1CC,SELPLG,NFE2,ALDH2,RAB21,PXN
RECQL,APAF1,ALDH2,ALDH2,RASSF3,DNAJC15,KRR1,RSRC2
DCTN2,GNPTAB,DYNLL1,CLIP1,IRAK3,TRIM13,APAF1,PAN3
LYZ,C12orf75,RNF10,RILPL2,RAB21,KCTD12,PXN,DNAJC15
ZFC3H1,GTF3A,GTF3A,UBC,KRR1,NFKBIA,RSRC2,RB1
OSBPL8,PAN3,DNAJC15,EPSTI1,OSBPL8,NIN,UBC,KCTD12
ATP2B1,RB1,RB1,KCTD12,ANKRD13A,MAPK1IP1L,EPSTI1,SLC7A7
IKBIP,FBXL3,RNASEH2B,UBAC2,RNF10,TIMM9,GPR183,GMPR2
APAF1,UBAC2,FBXL3,ANKRD10,TRIM13,EIF2S1,C14orf119,TINF2
UBC,APEX1,ANKRD10,C14orf119,MZT1,SEL1L,PABPN1,NFKBIA
MTIF3,NEMF,C14orf119,GMPR2,KCTD12,CALM1,SRP54,GNG2
UBL3,PSEN1,LTB4R,KLHDC2,MRPL52,PLCB2,NFKBIA,TIMM9
EPSTI1,FOS,NFKBIA,NEMF,GZMB,LYSMD2,KLHDC2,PPM1A
LCP1,MARK3,PTGER2,HIF1A,PPP2R3C,GFER,MAPK1IP1L,CALM1
KCTD12,SPG11,FOS,PSEN1,RPL36AL,LITAF,TIMM9,TMEM87A
GPR183,BLOC1S6,PSMC1,FOS,GNG2,KIF22,HIF1A,BLOC1S6
GZMB,ARPP19,NDUFB1,FOXN3,ZFP36L1,CYLD,NDUFB1,SQRDL
KLHDC2,RAB27A,DICER1,DICER1,FOS,IST1,SLC24A4,AQP9
NIN,SNAPC5,CINP,PLD4,SEL1L,USP10,DICER1,SNAPC5
MAPK1IP1L,C15orf39,MARK3,NUDT14,NUDT14,UBE2G1,CINP,PIAS1
NUDT14,IL16,NUDT14,AQP9,SPG11,DERL2,PLD4,IMP3
UBE3A,PGP,RAB27A,GTF2A2,TMOD3,ACADVL,NUDT14,ETFA
