,0
408,GYPC
409,BIN1
410,MAP3K2
411,MZT2B
412,PTPN18
413,PLEKHB2
414,UBXN4
415,CXCR4
416,HNMT
417,KYNU
418,ZEB2
419,NMI
420,PRPF40A
421,ARL6IP6
422,CYTIP
423,BAZ2B
424,RBMS1
425,TANK
426,GCA
427,PPIG
428,METTL5
429,DYNC1I2
430,SP3
431,OLA1
432,CIR1
433,WIPF1
434,ATP5G3
435,HNRNPA3
436,NFE2L2
437,PRKRA
438,DNAJC10
439,ZC3H15
440,ORMDL1
441,STAT1
442,NABP1
443,STK17B
444,ANKRD44
445,SF3B1
446,HSPD1
447,BZW1
448,CLK1
449,PPIL3
450,NDUFB3
451,CFLAR
452,CASP8
453,SUMO1
454,NOP58
455,NBEAL1
456,CREB1
457,XRCC5
458,RPL37A
459,ARPC2
460,GPBAR1
461,PNKD
462,SLC11A1
463,CTDSP1
464,FAM134A
465,TUBA4A
466,MRPL44
467,CUL3
468,MFF
469,AGFG1
470,TRIP12
471,SP110
472,SP100
473,CAB39
474,ITM2C
475,PSMD1
476,EIF4E2
477,INPP5D
478,ARL4C
479,LRRFIP1
480,UBE2F
481,NDUFA10
482,MYEOV2
483,RNPEPL1
484,MTERF4
485,HDLBP
486,SEPT2
487,ARL8B
488,THUMPD3-AS1
489,CAMK1
490,TADA3
491,ARPC4
492,JAGN1
493,EMC3
494,BRK1
495,RAF1
496,RPL32
497,IQSEC1
498,LSM3
499,FGD5-AS1
500,MRPS25
501,SH3BP5
502,DPH3
503,RAB5A
504,UBE2E2
505,UBE2E1
506,RPL15
507,TOP2B
508,NGLY1
509,CMC1
510,AZI2
511,TGFBR2
512,STT3B
513,CMTM7
514,CMTM6
515,DYNC1LI1
516,CRTAP
517,PDCD6IP
518,LRRFIP2
519,GOLGA4
520,ACAA1
521,MYD88
522,CX3CR1
523,EIF1B
524,RPL14
525,CTNNB1
526,SS18L2
527,NKTR
528,HIGD1A
529,KIAA1143
530,CCR1
531,CCR2
532,CCDC12
533,NBEAL2
534,SMARCC1
535,DHX30
536,TMA7
537,SHISA5
538,UQCRC1
539,ARIH2
540,NDUFAF3
541,IMPDH2
542,GPX1
543,RHOA
544,RBM5
545,GNAI2
546,TUSC2
547,RASSF1
548,CYB561D2
549,MAPKAPK3
550,MANF
551,TEX264
552,RPL29
553,TWF2
554,PPM1M
555,WDR82
556,STAB1
557,SMIM4
558,PBRM1
559,GNL3
560,PRKCD
561,TKT
562,SELK
563,FAM208A
564,APPL1
565,PDHB
566,THOC7
567,PSMD6
568,SUCLG2
569,TMF1
570,UBA3
571,ARL6IP5
572,FOXP1
573,PPP4R2
574,CHMP2B
575,CGGBP1
576,CLDND1
577,TRMT10C
578,RPL24
579,NFKBIZ
580,BBX
581,CD47
582,ATG3
583,NAA50
584,ATP6V1A
585,TIMMDC1
586,COX17
587,NDUFB4
588,HCLS1
589,CD86
590,CSTA
591,FAM162A
592,PARP9
593,PARP14
594,ZNF148
595,OSBPL11
596,ABTB1
597,SEC61A1
598,RPN1
599,RAB7A
600,CNBP
601,H1FX
602,MBD4
603,NUDT16
604,CDV3
605,ANAPC13
606,COPB2
607,RNF7
608,ATP1B3
609,XRN1
610,PLSCR1
611,GYG1
612,COMMD2
613,RNF13
614,SERP1
615,EIF2A
616,SELT
617,SIAH2
618,P2RY13
619,MBNL1
620,RAP2B
621,DHX36
622,SSR3
623,CCNL1
624,MFSD1
625,KPNA4
626,PDCD10
627,SEC62
628,RPL22L1
629,TNFSF10
630,TBL1XR1
631,GNB4
632,MRPL47
633,NDUFB5
634,FXR1
635,PARL
636,EIF4G1
637,MAP3K13
638,TRA2B
639,BCL6
640,LPP
641,CCDC50
642,ACAP2
643,LINC00969
644,NRROS
645,PAK2
646,NCBP2
647,FYTTD1
648,ATP5I
649,CTBP1
650,SLBP
651,C4orf48
652,TNIP2
653,SH3BP2
654,ADD1
655,MFSD10
656,LRPAP1
657,LYAR
658,MRFAP1
659,GRPEL1
660,WDR1
661,BOD1L1
662,FBXL5
663,FAM200B
664,BST1
665,FGFBP2
666,LAP3
667,MED28
668,DHX15
669,SMIM20
670,RBPJ
671,TBC1D1
672,KLF3
